City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,haiku-pauwela,20.9219,-156.3051,23.36,86,20,3.09,US,1701513647
188,huarmey,-10.0681,-78.1522,20.25,88,100,3.77,PE,1701513648
189,vorgashor,67.5833,63.95,-11.39,92,100,2.32,RU,1701513649
190,ancud,-41.8697,-73.8203,8.01,72,25,3.92,CL,1701513650
191,thompson,55.7435,-97.8558,-11.91,85,100,1.03,CA,1701513651
192,nuuk,64.1835,-51.7216,-4.88,90,100,2.04,GL,1701513652
193,new kingman-butler,35.265,-114.0323,4.55,56,0,4.12,US,1701513653
194,prince george,53.9166,-122.753,1.69,72,100,6.17,CA,1701513653
195,iskateley,67.6803,53.1512,-6.66,96,100,2.24,RU,1701513654
196,vilyuysk,63.7553,121.6247,-28.97,98,100,1.86,RU,1701513655
197,basco,20.4487,121.9702,25.71,79,95,11.01,PH,1701513656
198,baiyin,36.5583,104.2081,1.43,36,49,1.43,CN,1701513412
199,tual,-5.6667,132.75,29.12,71,90,1.34,ID,1701513658
200,benghazi,32.1167,20.0667,21.23,38,100,8.62,LY,1701513404
201,mbala,-8.8402,31.3659,22.84,66,96,0.27,ZM,1701513659
202,saint-joseph,-21.3667,55.6167,25.21,92,100,2.21,RE,1701513660
203,ulsteinvik,62.3432,5.8487,-0.14,76,57,0.45,NO,1701513661
204,abeche,13.8292,20.8324,35.06,11,55,3.18,TD,1701513662
205,qaqortoq,60.7167,-46.0333,-3.98,80,100,2.05,GL,1701513663
206,port douglas,-16.4833,145.4667,26.17,84,89,1.96,AU,1701513663
207,mejit,10.2753,170.8646,27.99,72,100,7.51,MH,1701513664
208,jaciara,-15.9653,-54.9683,30.35,40,50,1.07,BR,1701513665
209,san jose de jachal,-30.2406,-68.7469,22.5,34,0,1.11,AR,1701513666
210,fort bragg,35.139,-79.006,18.91,93,100,2.06,US,1701513667
211,nadym,65.5333,72.5167,-17.82,89,95,3.69,RU,1701513668
212,holualoa,19.6228,-155.9522,21.04,99,9,0.89,US,1701513668
213,bartica,6.4,-58.6167,22.18,87,30,0.48,GY,1701513669
214,urangan,-25.3,152.9,25.08,88,100,6.54,AU,1701513670
215,okhotsk,59.3833,143.3,-31.13,87,22,4.69,RU,1701513671
216,lovington,32.944,-103.3485,6.13,67,36,0.45,US,1701513672
217,rongelap,11.1635,166.8941,27.62,77,76,9.35,MH,1701513673
218,novokhopersk,51.0969,41.6252,-0.77,74,100,3.48,RU,1701513673
219,howrah,22.5892,88.3103,29.0,54,40,4.12,IN,1701513674
220,keflavik,64.0049,-22.5624,-0.76,69,0,1.03,IS,1701513675
221,utrik,11.2278,169.8474,27.36,76,82,8.83,MH,1701513676
222,gilgit,35.9221,74.3087,9.57,48,38,1.03,PK,1701513677
223,puerto lempira,15.2667,-83.7667,24.3,94,23,1.58,HN,1701513678
224,rybinsk,58.0446,38.8426,-9.97,96,87,0.45,RU,1701513502
225,francistown,-21.17,27.5079,33.49,10,28,5.88,BW,1701513679
226,lanchyn,48.5578,24.7562,3.68,100,100,1.51,UA,1701513680
227,ust'-ilimsk,58.0006,102.6619,-7.65,94,100,2.68,RU,1701513682
228,narrabri,-30.3167,149.7833,19.18,82,86,2.27,AU,1701513683
229,kodiak,57.79,-152.4072,1.73,100,100,2.06,US,1701513683
230,zouerate,22.7187,-12.4521,22.47,54,72,0.81,MR,1701513684
231,al bardiyah,31.7561,25.0865,21.7,30,18,2.16,LY,1701513685
232,kruisfontein,-34.0033,24.7314,23.27,44,100,5.55,ZA,1701513687
233,kapa'a,22.0752,-159.319,21.99,83,20,2.57,US,1701513688
234,phongsali,21.6833,102.1058,14.78,97,94,0.16,LA,1701513689
235,i-n-salah,27.1935,2.4607,25.06,9,0,3.63,DZ,1701513690
236,san antonio de pale,-1.4014,5.6325,26.73,74,100,1.21,GQ,1701513691
237,puro,12.4841,123.3827,26.58,83,46,6.49,PH,1701513691
238,pingdu,36.7844,119.9464,1.35,42,0,2.29,CN,1701513692
239,labuan bajo,-8.4964,119.8877,27.17,84,100,2.14,ID,1701513693
240,elliot lake,46.3834,-82.6331,-4.16,89,100,2.25,CA,1701513694
241,qarauyl,48.9451,79.255,1.02,46,99,3.31,KZ,1701513695
242,magadan,59.5667,150.8,-16.37,93,100,2.25,RU,1701513696
243,guerrero negro,27.9769,-114.0611,16.2,75,0,3.37,MX,1701513665
244,antsohihy,-14.8796,47.9875,30.83,57,95,3.25,MG,1701513698
245,hohhot,40.8106,111.6522,-4.84,39,0,1.0,CN,1701513699
246,yoichi,43.2039,140.7703,-0.6,90,89,3.62,JP,1701513700
247,fairbanks,64.8378,-147.7164,-21.0,80,100,0.0,US,1701513602
248,bardai,11.65,7.2333,32.4,10,9,4.85,NG,1701513701
249,ungsang-nodongjagu,42.3578,130.4622,-2.29,54,100,2.1,KP,1701513702
250,luderitz,-26.6481,15.1594,24.91,49,53,11.42,NA,1701513703
251,hadibu,12.65,54.0333,26.27,70,68,7.73,YE,1701513704
252,zaozersk,69.4005,32.4476,-10.18,96,92,1.92,RU,1701513705
253,tura,25.5198,90.2201,20.64,74,59,0.62,IN,1701513706
254,juan aldama,24.2908,-103.3944,9.7,70,100,3.51,MX,1701513706
255,livingston,55.9029,-3.5226,0.82,95,75,1.03,GB,1701513707
256,freetown,8.484,-13.2299,26.84,78,40,3.09,SL,1701513708
257,pachino,36.7186,15.0907,20.45,64,84,8.31,IT,1701513709
258,nizhniy odes,63.6445,54.856,-6.96,96,100,2.14,RU,1701513710
259,touros,-5.1989,-35.4608,28.14,65,90,5.98,BR,1701513428
260,mindelo,16.8901,-24.9804,24.75,73,75,4.63,CV,1701513712
261,nouadhibou,20.931,-17.0347,20.99,100,20,3.09,MR,1701513713
262,katsuura,35.1333,140.3,10.39,63,20,3.77,JP,1701513715
263,coxen hole,16.3244,-86.5366,26.83,75,1,7.56,HN,1701513597
264,udachny,66.4167,112.4,-32.53,82,99,1.69,RU,1701513716
265,ariquemes,-9.9133,-63.0408,23.78,95,93,0.73,BR,1701513717
266,charters towers,-20.1,146.2667,24.61,82,92,6.95,AU,1701513718
267,santa elena de uairen,4.6167,-61.1333,19.93,83,61,1.83,VE,1701513719
268,sanctuary point,-35.1114,150.629,16.78,90,46,0.77,AU,1701513720
269,cidreira,-30.1811,-50.2056,22.67,94,100,1.94,BR,1701513721
270,kuanda,56.3161,116.0806,-16.87,98,96,0.85,RU,1701513723
271,muslyumovo,55.3033,53.1947,-3.62,98,100,3.39,RU,1701513724
272,rio grande,-32.035,-52.0986,22.06,96,100,4.87,BR,1701513725
273,gejiu,23.306,103.1635,9.99,96,99,2.02,CN,1701513726
274,belogradchik,43.6272,22.6836,12.27,64,100,1.04,BG,1701513727
275,horta,38.5333,-28.6333,15.8,87,75,6.71,PT,1701513727
